,title,id,comms_num,created
0,Start-Up [Episode 16] FINALE,k7batc,2561,1607188384
1,Start-Up [Episode 15],k69iwy,2531,1607039972
2,Start-Up [Episode 14],k2rt3s,3800,1606584920
3,Start-Up [Episode 12],jyqbvs,3795,1606022918
4,Start-Up [Episode 13],k1yvxs,1705,1606473376
5,Start-Up [Episode 10],juh37t,3152,1605419602
6,Start-Up [Episode 11],jy69tu,1743,1605940776
7,Start-Up [Episode 9],jtwofe,2044,1605332210
8,Start-Up [Episode 8],jq7goa,2194,1604819124
9,Start-Up [Episode 7],jpm6jk,1472,1604731289
10,Start-Up [Episode 6],jlynuz,1227,1604216757
11,Start-Up [Episode 5],jleit6,881,1604130763
12,Start-Up [Episodes 3 & 4],jh5ugc,1216,1603530295
13,Start-Up [Post Finale Discussion],kag81t,143,1607610645
14,Start-Up [Episodes 1-8] Discussion,jrdfga,537,1604979323
15,Start Up fans! Are you team Do-San or Ji-Pyeong?,jrewkw,312,1604985054
16,Start-Up [Episodes 1 & 2] Premiere,jcpm8v,656,1602912694
17,Start-Up [Episodes 3 & 4] Part 2,jif76b,289,1603721378
18,Review Megathread: Start-Up,k8gn0f,27,1607347809
19,[Start Up] Cinematography Appreciation : Rooftop scene in EP 7,jr0ngl,73,1604938986
